code,slug,variant,finish-description,body-colour,accent-colours,top-material,dimensions-cm,accessories,source-file,path
PS374-TOP OAK,PS374-TOP-OAK,main,,,,,,,PS374-TOP OAK.jpg,images/PS374-TOP-OAK/main.jpg
PS375SUP,PS375SUP,main,,,,,,,PS375SUP.jpg,images/PS375SUP/main.jpg
PS379-TOP OAK,PS379-TOP-OAK,main,,,,,,,PS379-TOP OAK.jpg,images/PS379-TOP-OAK/main.jpg
PS380-TOP OAK,PS380-TOP-OAK,main,,,,,,,PS380-TOP OAK.jpg,images/PS380-TOP-OAK/main.jpg
PS383-180,PS383-180,main,,,,,,,PS383-180.jpg,images/PS383-180/main.jpg
PS383-210-TOP OAK,PS383-210-TOP-OAK,main,,,,,,,PS383-210-TOP OAK.jpg,images/PS383-210-TOP-OAK/main.jpg
PS385SUP,PS385SUP,main,,,,,,,PS385SUP.jpg,images/PS385SUP/main.jpg
PS38BAS,PS38BAS,main,,,,,,,PS38BAS.jpg,images/PS38BAS/main.jpg
PS38BAS-TOP OAK,PS38BAS-TOP-OAK,main,,,,,,,PS38BAS-TOP OAK.jpg,images/PS38BAS-TOP-OAK/main.jpg
PS398-TOP OAK,PS398-TOP-OAK,main,,,,,,,PS398-TOP OAK.jpg,images/PS398-TOP-OAK/main.jpg
PS403BAS-SUP,PS403BAS-SUP,main,,,,,,,PS403BAS-SUP.jpg,images/PS403BAS-SUP/main.jpg
PS403SUP,PS403SUP,main,,,,,,,PS403SUP.jpg,images/PS403SUP/main.jpg
PS409BAS-TOP OAK,PS409BAS-TOP-OAK,main,,,,,,,PS409BAS-TOP OAK.jpg,images/PS409BAS-TOP-OAK/main.jpg
PS41,PS41,main,,,,,,,PS41.jpg,images/PS41/main.jpg
PS410,PS410,main,,,,,,,PS410.jpg,images/PS410/main.jpg
PS417-P001,PS417-P001,main,,,,,,,PS417-P001.jpg,images/PS417-P001/main.jpg
PS419,PS419,main,,,,,,,PS419.jpg,images/PS419/main.jpg
PS424,PS424,main,,,,,,,PS424.jpg,images/PS424/main.jpg
PS424-TOP OAK,PS424-TOP-OAK,main,,,,,,,PS424-TOP OAK.jpg,images/PS424-TOP-OAK/main.jpg
PS426,PS426,main,,,,,,,PS426.jpg,images/PS426/main.jpg
PS427-140X200,PS427-140X200,main,,,,,,,PS427-140X200.jpg,images/PS427-140X200/main.jpg
PS427-160X200,PS427-160X200,main,,,,,,,PS427-160X200.jpg,images/PS427-160X200/main.jpg
PS427-90x200,PS427-90X200,main,,,,,,,PS427-90x200.jpg,images/PS427-90X200/main.jpg
PS435-TOP OAK,PS435-TOP-OAK,main,,,,,,,PS435-TOP OAK.jpg,images/PS435-TOP-OAK/main.jpg
PS438,PS438,main,,,,,,,PS438.jpg,images/PS438/main.jpg
PS438-TOP OAK,PS438-TOP-OAK,main,,,,,,,PS438-TOP OAK.jpg,images/PS438-TOP-OAK/main.jpg
PS439BAS-TOP OAK,PS439BAS-TOP-OAK,main,,,,,,,PS439BAS-TOP OAK.jpg,images/PS439BAS-TOP-OAK/main.jpg
PS45-160,PS45-160,main,,,,,,,PS45-160.jpg,images/PS45-160/main.jpg
PS45-180,PS45-180,main,,,,,,,PS45-180.jpg,images/PS45-180/main.jpg
PS45-210,PS45-210,main,,,,,,,PS45-210.jpg,images/PS45-210/main.jpg
PS452-TOP OAK,PS452-TOP-OAK,main,,,,,,,PS452-TOP OAK.jpg,images/PS452-TOP-OAK/main.jpg
PS455,PS455,main,,,,,,,PS455.jpg,images/PS455/main.jpg
PS473,PS473,main,,,,,,,PS473.jpg,images/PS473/main.jpg
PS474,PS474,main,,,,,,,PS474.jpg,images/PS474/main.jpg
PS475-TOP OAK,PS475-TOP-OAK,main,,,,,,,PS475-TOP OAK.jpg,images/PS475-TOP-OAK/main.jpg
PS477-TOP OAK,PS477-TOP-OAK,main,,,,,,,PS477-TOP OAK.jpg,images/PS477-TOP-OAK/main.jpg
